customer_id,company_name,industry,subscription_tier,contract_type,payment_method,signup_cohort,tenure_months,monthly_charges,total_charges,active_user_seats,feature_adoption_rate,support_tickets_30d,days_since_last_login,nps_score,churn_risk_score,risk_tier,churn_status,churn_reason
CUST-10100,Catalyst Digital Systems,Financial Services,Professional,Month-to-Month,Credit Card,2024-10,3,381.66,1141.56,14,97,3,5,8,25.0,Low Risk,0,N/A
CUST-10101,Pulse Digital Systems,Manufacturing,Enterprise,1-Year,Credit Card,2024-11,20,989.74,20329.07,30,75,1,14,7,7.2,Low Risk,0,N/A
CUST-10102,Vertex Digital Systems,Education,Starter,1-Year,Electronic Check,2025-05,9,107.37,953.83,3,93,0,1,6,4.3,Low Risk,0,N/A
CUST-10103,Starlight Digital Systems,Manufacturing,Starter,Month-to-Month,Credit Card,2024-10,9,133.81,1189.82,6,92,3,1,8,8.7,Low Risk,0,N/A
CUST-10104,Beacon Digital Systems,Education,Professional,1-Year,Bank Transfer,2025-06,7,395.51,2821.46,17,97,2,5,8,6.6,Low Risk,0,N/A
CUST-10105,Cobalt Digital Systems,Education,Enterprise,Month-to-Month,Credit Card,2024-12,10,1107.11,10765.49,43,38,5,1,9,26.9,Low Risk,1,Competitor Migration
CUST-10106,Crest Digital Systems,Financial Services,Enterprise,Month-to-Month,Credit Card,2025-05,1,1119.27,1148.94,45,58,3,2,8,28.9,Low Risk,1,Competitor Migration
CUST-10107,Elevation Digital Systems,Manufacturing,Enterprise,Month-to-Month,Credit Card,2025-12,2,1271.24,2489.43,62,71,1,3,9,23.1,Low Risk,0,N/A
CUST-10108,Frontier Digital Systems,E-Commerce,Enterprise,2-Year,Electronic Check,2025-03,10,1318.37,13294.09,69,63,1,1,4,6.6,Low Risk,0,N/A
CUST-10109,Horizon Digital Systems,Financial Services,Starter,1-Year,Bank Transfer,2026-04,1,179.09,183.83,8,51,0,0,7,16.1,Low Risk,0,N/A
CUST-10110,Integra Digital Systems,Technology,Enterprise,2-Year,Electronic Check,2025-02,2,1393.58,2681.96,76,65,1,0,10,2.0,Low Risk,0,N/A
CUST-10111,Kinetic Digital Systems,Technology,Enterprise,Month-to-Month,Bank Transfer,2026-03,4,1639.2,6304.5,105,32,2,1,8,41.3,Medium Risk,0,N/A
CUST-10112,Luminary Digital Systems,Healthcare,Enterprise,Month-to-Month,Bank Transfer,2024-02,8,1810.89,14486.92,128,68,1,2,2,35.4,Medium Risk,0,N/A
CUST-10113,Meridian Digital Systems,Manufacturing,Starter,1-Year,Bank Transfer,2024-01,20,177.13,3677.12,9,60,0,1,8,4.7,Low Risk,0,N/A
CUST-10114,Nova Digital Systems,Technology,Enterprise,Month-to-Month,Bank Transfer,2026-04,4,2013.02,7952.11,149,20,1,30,5,94.3,High Risk,1,Missing Core Feature
CUST-10115,Omni Digital Systems,Education,Professional,1-Year,Bank Transfer,2024-02,12,341.5,4255.63,8,84,0,2,9,1.7,Low Risk,0,N/A
CUST-10116,Pinnacle Digital Systems,E-Commerce,Professional,1-Year,Electronic Check,2024-02,10,506.22,5068.43,30,40,0,0,2,20.6,Low Risk,0,N/A
CUST-10117,Acro Digital Systems,Manufacturing,Professional,Month-to-Month,Credit Card,2026-01,1,323.87,330.17,6,98,0,0,7,17.5,Low Risk,0,N/A
CUST-10118,Boreal Digital Systems,E-Commerce,Starter,Month-to-Month,Electronic Check,2025-05,5,123.37,619.09,3,25,2,0,8,41.3,Medium Risk,0,N/A
CUST-10119,Cortex Digital Systems,Financial Services,Starter,Month-to-Month,Credit Card,2025-02,6,154.63,964.75,6,71,1,0,9,7.9,Low Risk,0,N/A
CUST-10120,Equinox Digital Systems,Financial Services,Professional,Month-to-Month,Credit Card,2024-12,17,534.68,8751.28,30,35,5,0,8,48.8,Medium Risk,0,N/A
CUST-10121,Flux Digital Systems,Technology,Starter,2-Year,Bank Transfer,2024-05,22,144.18,3179.44,6,72,4,1,9,2.2,Low Risk,0,N/A
CUST-10122,Galactic Digital Systems,E-Commerce,Starter,Month-to-Month,Credit Card,2025-04,13,131.74,1727.95,5,86,0,3,8,18.2,Low Risk,0,N/A
CUST-10123,Helix Digital Systems,Education,Enterprise,Month-to-Month,Bank Transfer,2024-06,23,1958.51,45650.57,145,71,6,5,10,25.0,Low Risk,0,N/A
CUST-10124,Infini Digital Systems,Education,Starter,Month-to-Month,Bank Transfer,2025-11,3,167.16,482.48,9,61,1,0,5,50.0,Medium Risk,1,Poor Onboarding Experience
CUST-10125,Krypton Digital Systems,Manufacturing,Professional,1-Year,Credit Card,2024-03,3,436.13,1298.91,19,54,1,3,7,23.1,Low Risk,0,N/A
CUST-10126,Matrix Digital Systems,Manufacturing,Starter,Month-to-Month,Credit Card,2024-12,5,153.98,795.2,6,85,1,0,10,3.6,Low Risk,0,N/A
CUST-10127,Neutron Digital Systems,Technology,Enterprise,Month-to-Month,Electronic Check,2024-08,12,1231.14,14833.77,59,81,3,5,5,31.0,Low Risk,0,N/A
CUST-10128,Optima Digital Systems,Healthcare,Professional,Month-to-Month,Bank Transfer,2025-07,3,469.17,1414.67,24,36,2,3,8,43.8,Medium Risk,0,N/A
CUST-10129,Prism Digital Systems,Technology,Starter,Month-to-Month,Credit Card,2025-08,11,174.76,1919.74,10,18,1,2,6,41.3,Medium Risk,0,N/A
CUST-10130,Radiant Digital Systems,Education,Professional,Month-to-Month,Credit Card,2025-04,15,410.55,6398.68,19,41,0,0,9,9.5,Low Risk,0,N/A
CUST-10131,Solaris Digital Systems,Financial Services,Enterprise,Month-to-Month,Bank Transfer,2024-08,15,1196.12,18464.5,53,30,0,0,3,67.9,High Risk,1,Poor Onboarding Experience
CUST-10132,Titan Digital Systems,E-Commerce,Starter,2-Year,Credit Card,2024-07,25,134.47,3233.51,3,35,1,1,7,1.3,Low Risk,0,N/A
CUST-10133,Zenith Digital Systems,E-Commerce,Professional,1-Year,Bank Transfer,2024-10,16,552.43,9084.37,35,91,3,2,7,3.6,Low Risk,0,N/A
CUST-10134,Strata Digital Systems,E-Commerce,Starter,1-Year,Credit Card,2025-01,2,148.46,295.74,5,87,1,1,6,6.3,Low Risk,0,N/A
CUST-10135,Synapse Digital Systems,Manufacturing,Starter,Month-to-Month,Electronic Check,2025-01,12,189.31,2253.8,10,58,1,1,4,35.4,Medium Risk,0,N/A
CUST-10136,Vortex Digital Systems,Technology,Starter,1-Year,Credit Card,2024-05,20,130.98,2644.01,3,80,0,14,6,3.9,Low Risk,0,N/A
CUST-10137,Vector Digital Systems,Financial Services,Professional,Month-to-Month,Credit Card,2024-10,16,453.99,7436.29,21,17,1,2,10,21.4,Low Risk,0,N/A
CUST-10138,Zenith Digital Systems,Education,Enterprise,Month-to-Month,Credit Card,2026-01,5,960.89,4889.46,26,88,0,0,7,10.4,Low Risk,0,N/A
CUST-10139,Aegis Digital Systems,E-Commerce,Starter,2-Year,Bank Transfer,2024-01,15,115.6,1749.46,4,55,1,1,5,6.6,Low Risk,0,N/A
CUST-10140,Orion Digital Systems,E-Commerce,Enterprise,Month-to-Month,Credit Card,2025-10,8,1041.2,8360.43,35,82,1,14,7,15.4,Low Risk,0,N/A
CUST-10141,Apex Bio Systems,Education,Professional,1-Year,Bank Transfer,2025-04,7,508.33,3635.5,28,46,0,0,10,3.9,Low Risk,0,N/A
CUST-10142,Vanguard Bio Systems,Education,Starter,Month-to-Month,Electronic Check,2026-02,3,159.6,491.0,8,51,0,2,7,33.2,Low Risk,0,N/A
CUST-10143,Nexus Bio Systems,Healthcare,Starter,Month-to-Month,Electronic Check,2025-09,5,156.44,767.91,5,76,0,5,6,18.2,Low Risk,0,N/A
CUST-10144,Quantum Bio Systems,Technology,Professional,Month-to-Month,Electronic Check,2024-08,21,450.37,9083.38,23,44,0,1,8,11.4,Low Risk,1,Competitor Migration
CUST-10145,Hyperion Bio Systems,Manufacturing,Enterprise,2-Year,Electronic Check,2025-04,7,1243.24,8754.29,60,51,0,2,9,1.3,Low Risk,0,N/A
CUST-10146,Aura Bio Systems,Manufacturing,Professional,2-Year,Bank Transfer,2026-05,1,551.28,571.66,32,19,6,1,7,41.3,Medium Risk,0,N/A
CUST-10147,Catalyst Bio Systems,Financial Services,Enterprise,1-Year,Electronic Check,2024-11,10,916.44,9421.78,22,73,6,1,7,26.9,Low Risk,0,N/A
CUST-10148,Pulse Bio Systems,E-Commerce,Starter,1-Year,Credit Card,2025-11,3,109.07,318.72,2,16,2,3,8,48.8,Medium Risk,0,N/A
CUST-10149,Vertex Bio Systems,Education,Enterprise,Month-to-Month,Credit Card,2024-06,5,1833.53,9353.76,129,76,0,0,6,10.4,Low Risk,0,N/A
CUST-10150,Starlight Bio Systems,Financial Services,Starter,1-Year,Credit Card,2024-02,22,165.9,3763.03,10,30,1,0,8,11.4,Low Risk,0,N/A
CUST-10151,Beacon Bio Systems,Financial Services,Professional,Month-to-Month,Credit Card,2024-08,5,491.06,2464.97,25,76,0,3,8,18.2,Low Risk,0,N/A
CUST-10152,Cobalt Bio Systems,E-Commerce,Professional,Month-to-Month,Bank Transfer,2026-01,5,524.74,2542.3,30,25,1,1,7,41.3,Medium Risk,0,N/A
CUST-10153,Crest Bio Systems,Manufacturing,Enterprise,Month-to-Month,Bank Transfer,2025-05,8,1342.54,10693.48,71,29,2,3,7,57.4,Medium Risk,0,N/A
CUST-10154,Elevation Bio Systems,Technology,Professional,1-Year,Credit Card,2025-10,5,439.54,2117.75,21,17,1,5,8,34.3,Low Risk,0,N/A
CUST-10155,Frontier Bio Systems,Financial Services,Professional,2-Year,Bank Transfer,2026-06,2,468.29,953.76,22,19,0,0,4,33.2,Low Risk,0,N/A
CUST-10156,Horizon Bio Systems,E-Commerce,Starter,2-Year,Credit Card,2024-03,22,155.7,3396.09,7,84,0,5,3,3.2,Low Risk,0,N/A
CUST-10157,Integra Bio Systems,Healthcare,Professional,1-Year,Electronic Check,2025-03,14,377.72,5156.29,12,83,1,0,7,3.6,Low Risk,0,N/A
CUST-10158,Kinetic Bio Systems,Education,Professional,Month-to-Month,Credit Card,2026-05,1,325.83,331.13,6,45,0,0,2,55.0,Medium Risk,0,N/A
CUST-10159,Luminary Bio Systems,Technology,Starter,Month-to-Month,Bank Transfer,2026-04,1,103.08,101.59,1,32,1,0,9,33.2,Low Risk,0,N/A
CUST-10160,Meridian Bio Systems,Manufacturing,Professional,Month-to-Month,Bank Transfer,2025-10,9,521.22,4779.25,31,43,1,0,8,18.2,Low Risk,0,N/A
CUST-10161,Nova Bio Systems,Healthcare,Professional,Month-to-Month,Bank Transfer,2025-09,7,418.95,2992.34,18,82,0,1,4,22.3,Low Risk,0,N/A
CUST-10162,Omni Bio Systems,E-Commerce,Starter,1-Year,Electronic Check,2026-06,1,125.03,122.58,4,86,1,1,7,6.3,Low Risk,0,N/A
